inquiry_id,item_no,material_id,inquiry_quantity,unit,expected_unit_price,item_remarks
INQ-20250701-001,1,MAT-10031,456.0,套,125.48,网上
INQ-20250701-001,2,MAT-10045,61.0,件,140.41,经营
INQ-20250701-001,3,MAT-10023,56.0,个,23.92,只有
INQ-20250701-002,1,MAT-10017,354.0,套,155.88,一样
INQ-20250701-002,2,MAT-10006,461.0,箱,148.43,组织
INQ-20250701-002,3,MAT-10050,43.0,套,479.08,其中
INQ-20250701-003,1,MAT-10028,356.0,件,344.97,商品
INQ-20250701-003,2,MAT-10008,202.0,个,262.19,系统
INQ-20250701-003,3,MAT-10023,96.0,套,437.86,完成
INQ-20250702-001,1,MAT-10034,401.0,个,430.38,名称
INQ-20250702-001,2,MAT-10011,52.0,个,56.36,注意
INQ-20250702-001,3,MAT-10022,208.0,套,465.34,是一
INQ-20250702-002,1,MAT-10044,205.0,个,383.1,帖子
INQ-20250702-002,2,MAT-10001,344.0,个,447.63,注意
INQ-20250702-002,3,MAT-10017,196.0,件,117.3,这是
INQ-20250702-003,1,MAT-10048,158.0,个,155.63,时间
INQ-20250702-003,2,MAT-10013,350.0,件,39.5,朋友
INQ-20250702-003,3,MAT-10046,209.0,箱,95.3,网络
INQ-20250703-001,1,MAT-10025,464.0,套,381.65,企业
INQ-20250703-001,2,MAT-10008,496.0,箱,220.43,你们
INQ-20250703-001,3,MAT-10029,486.0,箱,378.08,更多
INQ-20250703-002,1,MAT-10010,137.0,个,299.68,组织
INQ-20250703-002,2,MAT-10048,210.0,箱,47.59,影响
INQ-20250703-002,3,MAT-10039,173.0,箱,259.58,男人
INQ-20250703-003,1,MAT-10004,389.0,套,229.28,发布
INQ-20250703-003,2,MAT-10020,139.0,箱,76.19,分析
INQ-20250703-003,3,MAT-10001,130.0,件,380.99,部分
INQ-20250704-001,1,MAT-10024,17.0,套,76.3,次数
INQ-20250704-001,2,MAT-10042,240.0,套,78.4,由于
INQ-20250704-001,3,MAT-10045,133.0,件,19.64,非常
