<<<<<<< HEAD
﻿sales_order_id,item_no,material_id,order_quantity,sales_unit_price,shipped_quantity,unshipped_quantity,item_amount,unit
SO-20250701-001,1,MAT-10003,166,88.01,0,166,14609.66,件
SO-20250701-001,2,MAT-10003,137,194.0,0,137,26578.0,套
SO-20250701-001,3,MAT-10029,181,37.81,0,181,6843.61,个
SO-20250701-002,1,MAT-10005,42,149.87,0,42,6294.54,套
SO-20250701-002,2,MAT-10003,119,236.98,0,119,28200.62,套
SO-20250701-002,3,MAT-10017,167,45.78,0,167,7645.26,件
SO-20250701-003,1,MAT-10013,92,95.8,0,92,8813.6,个
SO-20250701-003,2,MAT-10048,178,204.91,0,178,36473.98,箱
SO-20250701-003,3,MAT-10024,79,162.5,0,79,12837.5,件
SO-20250702-001,1,MAT-10010,93,95.38,0,93,8870.34,套
SO-20250702-001,2,MAT-10011,194,219.98,0,194,42676.12,箱
SO-20250702-001,3,MAT-10049,75,71.84,0,75,5388.0,件
SO-20250702-002,1,MAT-10036,139,103.38,0,139,14369.82,个
SO-20250702-002,2,MAT-10027,66,206.97,0,66,13660.02,套
SO-20250702-002,3,MAT-10026,141,226.71,0,141,31966.11,个
SO-20250702-003,1,MAT-10027,85,171.68,0,85,14592.8,个
SO-20250702-003,2,MAT-10039,121,228.5,0,121,27648.5,套
SO-20250702-003,3,MAT-10019,107,183.26,0,107,19608.82,件
SO-20250703-001,1,MAT-10007,148,230.16,0,148,34063.68,箱
SO-20250703-001,2,MAT-10033,121,242.53,0,121,29346.13,个
SO-20250703-001,3,MAT-10012,73,80.73,0,73,5893.29,箱
SO-20250703-002,1,MAT-10027,88,165.23,0,88,14540.24,箱
SO-20250703-002,2,MAT-10021,168,112.0,0,168,18816.0,件
SO-20250703-002,3,MAT-10025,68,239.8,0,68,16306.4,个
SO-20250703-003,1,MAT-10012,141,61.52,0,141,8674.32,件
SO-20250703-003,2,MAT-10038,63,226.88,0,63,14293.44,箱
SO-20250703-003,3,MAT-10015,156,136.35,0,156,21270.6,件
SO-20250704-001,1,MAT-10026,56,140.15,0,56,7848.4,箱
SO-20250704-001,2,MAT-10035,130,74.17,0,130,9642.1,套
SO-20250704-001,3,MAT-10031,18,99.42,0,18,1789.56,箱
SO-20250704-002,1,MAT-10007,169,178.21,0,169,30117.49,套
SO-20250704-002,2,MAT-10016,183,87.0,0,183,15921.0,件
SO-20250704-002,3,MAT-10038,109,141.44,0,109,15416.96,个
SO-20250704-003,1,MAT-10014,106,113.74,0,106,12056.44,件
SO-20250704-003,2,MAT-10030,14,40.07,0,14,560.98,箱
SO-20250704-003,3,MAT-10016,67,134.96,0,67,9042.32,个
SO-20250705-001,1,MAT-10038,166,172.45,0,166,28626.7,箱
SO-20250705-001,2,MAT-10030,166,182.77,0,166,30339.82,套
SO-20250705-001,3,MAT-10016,136,132.41,0,136,18007.76,个
SO-20250705-002,1,MAT-10006,109,138.26,0,109,15070.34,个
SO-20250705-002,2,MAT-10048,25,176.36,0,25,4409.0,箱
SO-20250705-002,3,MAT-10041,171,99.82,0,171,17069.22,箱
SO-20250705-003,1,MAT-10028,77,99.06,0,77,7627.62,套
SO-20250705-003,2,MAT-10023,192,180.38,0,192,34632.96,个
SO-20250705-003,3,MAT-10034,46,165.92,0,46,7632.32,个
SO-20250706-001,1,MAT-10046,150,181.72,0,150,27258.0,套
SO-20250706-001,2,MAT-10040,198,208.1,0,198,41203.8,箱
SO-20250706-001,3,MAT-10019,189,230.21,0,189,43509.69,件
SO-20250706-002,1,MAT-10031,187,195.71,0,187,36597.77,箱
SO-20250706-002,2,MAT-10025,137,214.94,0,137,29446.78,件
SO-20250706-002,3,MAT-10043,132,165.14,0,132,21798.48,个
SO-20250706-003,1,MAT-10045,155,235.24,0,155,36462.2,套
SO-20250706-003,2,MAT-10033,54,207.54,0,54,11207.16,套
SO-20250706-003,3,MAT-10005,76,209.28,0,76,15905.28,箱
SO-20250707-001,1,MAT-10033,103,70.22,0,103,7232.66,套
SO-20250707-001,2,MAT-10009,197,186.4,0,197,36720.8,箱
SO-20250707-001,3,MAT-10032,88,139.8,0,88,12302.4,件
SO-20250707-002,1,MAT-10043,119,203.5,0,119,24216.5,个
SO-20250707-002,2,MAT-10008,121,167.32,0,121,20245.72,个
SO-20250707-002,3,MAT-10003,195,160.94,0,195,31383.3,箱
SO-20250707-003,1,MAT-10027,180,47.47,0,180,8544.6,箱
SO-20250707-003,2,MAT-10047,103,163.33,0,103,16822.99,个
SO-20250707-003,3,MAT-10047,182,48.49,0,182,8825.18,箱
SO-20250708-001,1,MAT-10031,107,210.24,0,107,22495.68,件
SO-20250708-001,2,MAT-10026,11,63.97,0,11,703.67,箱
SO-20250708-001,3,MAT-10020,163,242.39,0,163,39509.57,件
SO-20250708-002,1,MAT-10039,98,106.1,0,98,10397.8,件
SO-20250708-002,2,MAT-10037,191,200.96,0,191,38383.36,套
SO-20250708-002,3,MAT-10006,174,30.35,0,174,5280.9,套
SO-20250708-003,1,MAT-10032,130,97.16,0,130,12630.8,套
SO-20250708-003,2,MAT-10003,171,157.5,0,171,26932.5,件
SO-20250708-003,3,MAT-10050,154,72.62,0,154,11183.48,箱
SO-20250709-001,1,MAT-10028,119,139.69,0,119,16623.11,套
SO-20250709-001,2,MAT-10012,27,181.51,0,27,4900.77,箱
SO-20250709-001,3,MAT-10050,161,147.98,0,161,23824.78,件
SO-20250709-002,1,MAT-10050,121,32.44,0,121,3925.24,件
SO-20250709-002,2,MAT-10014,39,50.98,0,39,1988.22,套
SO-20250709-002,3,MAT-10041,124,195.41,0,124,24230.84,套
SO-20250709-003,1,MAT-10046,77,91.57,0,77,7050.89,件
SO-20250709-003,2,MAT-10040,149,81.61,0,149,12159.89,件
SO-20250709-003,3,MAT-10045,22,126.43,0,22,2781.46,件
SO-20250710-001,1,MAT-10001,189,79.47,0,189,15019.83,箱
SO-20250710-001,2,MAT-10007,28,95.35,0,28,2669.8,个
SO-20250710-001,3,MAT-10018,121,125.16,0,121,15144.36,箱
SO-20250710-002,1,MAT-10002,29,131.23,0,29,3805.67,套
SO-20250710-002,2,MAT-10009,51,41.94,0,51,2138.94,件
SO-20250710-002,3,MAT-10010,45,33.94,0,45,1527.3,个
SO-20250710-003,1,MAT-10030,130,194.16,0,130,25240.8,个
SO-20250710-003,2,MAT-10010,37,240.9,0,37,8913.3,套
SO-20250710-003,3,MAT-10045,168,46.53,0,168,7817.04,套
SO-20250711-001,1,MAT-10030,132,74.92,0,132,9889.44,个
SO-20250711-001,2,MAT-10046,170,181.95,0,170,30931.5,套
SO-20250711-001,3,MAT-10037,105,54.95,0,105,5769.75,套
SO-20250711-002,1,MAT-10002,57,225.36,0,57,12845.52,套
SO-20250711-002,2,MAT-10020,171,229.64,0,171,39268.44,个
SO-20250711-002,3,MAT-10042,104,201.81,0,104,20988.24,箱
SO-20250711-003,1,MAT-10027,54,169.31,0,54,9142.74,个
SO-20250711-003,2,MAT-10024,36,181.85,0,36,6546.6,件
SO-20250711-003,3,MAT-10007,41,39.97,0,41,1638.77,套
SO-20250712-001,1,MAT-10043,73,200.94,0,73,14668.62,个
SO-20250712-001,2,MAT-10011,97,137.42,0,97,13329.74,件
SO-20250712-001,3,MAT-10003,47,239.53,0,47,11257.91,箱
SO-20250712-002,1,MAT-10008,77,219.91,0,77,16933.07,箱
SO-20250712-002,2,MAT-10007,25,82.43,0,25,2060.75,箱
SO-20250712-002,3,MAT-10045,161,245.34,0,161,39499.74,个
SO-20250712-003,1,MAT-10040,35,69.51,0,35,2432.85,箱
SO-20250712-003,2,MAT-10020,159,212.77,0,159,33830.43,套
SO-20250712-003,3,MAT-10030,91,135.34,0,91,12315.94,件
SO-20250713-001,1,MAT-10045,116,76.54,0,116,8878.64,箱
SO-20250713-001,2,MAT-10036,37,222.8,0,37,8243.6,件
SO-20250713-001,3,MAT-10038,134,73.55,0,134,9855.7,箱
SO-20250713-002,1,MAT-10012,146,164.75,0,146,24053.5,箱
SO-20250713-002,2,MAT-10018,126,130.54,0,126,16448.04,个
SO-20250713-002,3,MAT-10010,55,233.02,0,55,12816.1,件
SO-20250713-003,1,MAT-10038,146,86.81,0,146,12674.26,箱
SO-20250713-003,2,MAT-10015,140,86.05,0,140,12047.0,件
SO-20250713-003,3,MAT-10048,193,223.65,0,193,43164.45,个
SO-20250714-001,1,MAT-10048,83,127.35,0,83,10570.05,箱
SO-20250714-001,2,MAT-10049,149,155.3,0,149,23139.7,个
SO-20250714-001,3,MAT-10020,24,72.85,0,24,1748.4,件
SO-20250714-002,1,MAT-10048,30,222.87,0,30,6686.1,箱
SO-20250714-002,2,MAT-10013,102,158.06,0,102,16122.12,套
SO-20250714-002,3,MAT-10024,132,136.16,0,132,17973.12,套
SO-20250714-003,1,MAT-10024,181,70.98,0,181,12847.38,箱
SO-20250714-003,2,MAT-10043,123,45.88,0,123,5643.24,个
SO-20250714-003,3,MAT-10016,128,171.01,0,128,21889.28,件
SO-20250715-001,1,MAT-10011,194,104.96,0,194,20362.24,箱
SO-20250715-001,2,MAT-10022,155,37.35,0,155,5789.25,件
SO-20250715-001,3,MAT-10012,126,143.64,0,126,18098.64,个
SO-20250715-002,1,MAT-10021,24,169.97,0,24,4079.28,套
SO-20250715-002,2,MAT-10038,43,65.28,0,43,2807.04,箱
SO-20250715-002,3,MAT-10017,131,92.09,0,131,12063.79,个
SO-20250715-003,1,MAT-10006,89,140.59,0,89,12512.51,个
SO-20250715-003,2,MAT-10009,46,40.95,0,46,1883.7,个
SO-20250715-003,3,MAT-10044,39,167.85,0,39,6546.15,箱
SO-20250716-001,1,MAT-10021,27,153.8,0,27,4152.6,套
SO-20250716-001,2,MAT-10012,104,50.26,0,104,5227.04,箱
SO-20250716-001,3,MAT-10024,180,237.82,0,180,42807.6,个
SO-20250716-002,1,MAT-10037,193,192.1,0,193,37075.3,个
SO-20250716-002,2,MAT-10022,47,151.3,0,47,7111.1,套
SO-20250716-002,3,MAT-10002,198,240.83,0,198,47684.34,件
SO-20250716-003,1,MAT-10016,124,190.95,0,124,23677.8,箱
SO-20250716-003,2,MAT-10046,18,73.94,0,18,1330.92,箱
SO-20250716-003,3,MAT-10038,143,184.12,0,143,26329.16,个
SO-20250717-001,1,MAT-10032,83,229.52,0,83,19050.16,个
SO-20250717-001,2,MAT-10010,50,135.1,0,50,6755.0,套
