<<<<<<< HEAD
﻿quotation_id,customer_id,inquiry_id,quotation_date,valid_until_date,status,total_amount,salesperson_id,remarks
QUO-20250701-001,CUST-CN00009,INQ-20250701-001,2025-07-02,2025-07-31,草稿,62776,SALES-003,登录建设注意之后密码.
QUO-20250701-002,CUST-CN00006,INQ-20250701-002,2025-07-03,2025-08-01,已发送,35856,SALES-006,所有现在进入孩子.
QUO-20250701-003,CUST-CN00011,INQ-20250701-003,2025-07-04,2025-08-02,草稿,34581,SALES-005,国际经营更新进入.
QUO-20250702-001,CUST-CN00010,INQ-20250702-001,2025-07-05,2025-08-03,已发送,35398,SALES-002,认为问题他们欢迎大家.
QUO-20250702-002,CUST-CN00009,INQ-20250702-002,2025-07-06,2025-08-04,已发送,19111,SALES-010,包括中心密码回复广告留言.
QUO-20250702-003,CUST-CN00004,INQ-20250702-003,2025-07-07,2025-08-05,已发送,80249,SALES-003,为什今天进入上海得到有些.
QUO-20250703-001,CUST-CN00005,INQ-20250703-001,2025-07-08,2025-08-06,草稿,50350,SALES-007,不会名称增加组织内容回复.
QUO-20250703-002,CUST-CN00002,INQ-20250703-002,2025-07-09,2025-08-07,已发送,32904,SALES-008,威望建设当前分析这些.
QUO-20250703-003,CUST-CN00007,INQ-20250703-003,2025-07-10,2025-08-08,已发送,24366,SALES-004,法律城市只有还是美国作者作品.
QUO-20250704-001,CUST-CN00001,INQ-20250704-001,2025-07-11,2025-08-09,草稿,21069,SALES-003,精华汽车女人电影规定一点商品.
QUO-20250704-002,CUST-CN00010,INQ-20250704-002,2025-07-12,2025-08-10,草稿,25471,SALES-001,准备设计当然日本增加然后详细.
QUO-20250704-003,CUST-CN00011,INQ-20250704-003,2025-07-13,2025-08-11,草稿,40143,SALES-002,社会之后简介一次技术的人最新.
QUO-20250705-001,CUST-CN00011,INQ-20250705-001,2025-07-14,2025-08-12,草稿,79624,SALES-005,怎么日期深圳大家登录主题本站.
QUO-20250705-002,CUST-CN00009,INQ-20250705-002,2025-07-15,2025-08-13,已发送,35594,SALES-010,控制国际标题登录深圳.
QUO-20250705-003,CUST-CN00019,INQ-20250705-003,2025-07-16,2025-08-14,草稿,25755,SALES-006,有限能力在线一直广告介绍部分.
QUO-20250706-001,CUST-CN00009,INQ-20250706-001,2025-07-17,2025-08-15,已发送,88331,SALES-001,开发其他积分这里销售为了手机.
QUO-20250706-002,CUST-CN00013,INQ-20250706-002,2025-07-18,2025-08-16,草稿,64269,SALES-002,文章安全解决浏览.
QUO-20250706-003,CUST-CN00012,INQ-20250706-003,2025-07-19,2025-08-17,草稿,44902,SALES-008,当前位置发生标题标准登录拥有.
QUO-20250707-001,CUST-CN00016,INQ-20250707-001,2025-07-20,2025-08-18,已发送,59965,SALES-002,文章帖子包括.
QUO-20250707-002,CUST-CN00017,INQ-20250707-002,2025-07-21,2025-08-19,已发送,75642,SALES-006,一些应该认为这种以下免费因此.
QUO-20250707-003,CUST-CN00016,INQ-20250707-003,2025-07-22,2025-08-20,已发送,30559,SALES-001,或者发展推荐日期通过更新.
QUO-20250708-001,CUST-CN00010,INQ-20250708-001,2025-07-23,2025-08-21,已发送,56025,SALES-006,同时网上很多浏览在线最后标准.
QUO-20250708-002,CUST-CN00010,INQ-20250708-002,2025-07-24,2025-08-22,草稿,52208,SALES-008,你的方式电话北京来源.
QUO-20250708-003,CUST-CN00012,INQ-20250708-003,2025-07-25,2025-08-23,草稿,41588,SALES-006,那个时候设计使用这种类别今年.
QUO-20250709-001,CUST-CN00013,INQ-20250709-001,2025-07-26,2025-08-24,已发送,15713,SALES-010,软件一起决定注册计划增加.
QUO-20250709-002,CUST-CN00008,INQ-20250709-002,2025-07-27,2025-08-25,已发送,66237,SALES-004,以下国家完成.
