quotation_id,item_no,inquiry_item_id,material_id,quotation_quantity,unit_price,discount_rate,item_amount,unit
QUO-20250701-001,1,INQ-20250701-001-1,MAT-10029,135.0,227.93,0.05,30770.55,件
QUO-20250701-001,2,INQ-20250701-001-2,MAT-10027,199.0,163.3,0.07,32496.7,件
QUO-20250701-001,3,INQ-20250701-001-3,MAT-10016,137.0,139.94,0.07,19171.78,箱
QUO-20250701-002,1,INQ-20250701-002-1,MAT-10045,137.0,196.02,0.02,26854.74,个
QUO-20250701-002,2,INQ-20250701-002-2,MAT-10017,132.0,210.05,0.12,27726.6,箱
QUO-20250701-002,3,INQ-20250701-002-3,MAT-10024,94.0,54.12,0.09,5087.28,件
QUO-20250701-003,1,INQ-20250701-003-1,MAT-10041,199.0,191.13,0.12,38034.87,个
QUO-20250701-003,2,INQ-20250701-003-2,MAT-10011,155.0,220.43,0.08,34166.65,件
QUO-20250701-003,3,INQ-20250701-003-3,MAT-10030,169.0,281.81,0.07,47625.89,个
QUO-20250702-001,1,INQ-20250702-001-1,MAT-10034,80.0,197.42,0.03,15793.6,套
QUO-20250702-001,2,INQ-20250702-001-2,MAT-10049,60.0,235.73,0.02,14143.8,个
QUO-20250702-001,3,INQ-20250702-001-3,MAT-10018,29.0,117.08,0.07,3395.32,个
QUO-20250702-002,1,INQ-20250702-002-1,MAT-10014,79.0,273.21,0.02,21583.59,套
QUO-20250702-002,2,INQ-20250702-002-2,MAT-10006,192.0,94.71,0.14,18184.32,套
QUO-20250702-002,3,INQ-20250702-002-3,MAT-10048,62.0,216.49,0.05,13422.38,箱
QUO-20250702-003,1,INQ-20250702-003-1,MAT-10015,7.0,107.99,0.15,755.93,套
QUO-20250702-003,2,INQ-20250702-003-2,MAT-10007,178.0,99.49,0.08,17709.22,件
QUO-20250702-003,3,INQ-20250702-003-3,MAT-10024,16.0,193.84,0.04,3101.44,个
QUO-20250703-001,1,INQ-20250703-001-1,MAT-10020,139.0,199.81,0.05,27773.59,套
QUO-20250703-001,2,INQ-20250703-001-2,MAT-10021,14.0,224.1,0.15,3137.4,个
QUO-20250703-001,3,INQ-20250703-001-3,MAT-10032,159.0,167.8,0.06,26680.2,套
QUO-20250703-002,1,INQ-20250703-002-1,MAT-10007,120.0,86.83,0.09,10419.6,箱
