payment_id,customer_id,invoice_id,payment_date,payment_amount,payment_method,write_off_amount,status,remarks
PAY-241100001,CUST-CN00009,INV-241000003,2024-11-23 00:00:00,5466.1900000000,承兑汇票,0E-10,已确认,
PAY-241100002,CUST-CN00009,INV-241000003,2024-11-08 00:00:00,11897.1000000000,承兑汇票,0E-10,已确认,
PAY-241200003,CUST-CN00001,INV-241100006,2024-11-19 00:00:00,18351.3500000000,银行转账,0E-10,已确认,
PAY-241200004,CUST-CN00001,INV-241100006,2024-12-30 00:00:00,7901.3300000000,现金,0E-10,已确认,
PAY-240700005,CUST-CN00012,INV-240700010,2024-07-24 00:00:00,33232.4400000000,银行转账,0E-10,已确认,
PAY-240800006,CUST-CN00012,INV-240700010,2024-08-20 00:00:00,15590.4600000000,信用证,0E-10,已确认,
PAY-240500007,CUST-CN00010,INV-240400012,2024-05-20 00:00:00,10238.4100000000,承兑汇票,0E-10,已确认,
PAY-240200008,CUST-CN00005,INV-240200013,2024-02-27 00:00:00,11660.7000000000,信用证,0E-10,已确认,
PAY-240700009,CUST-CN00012,INV-240700015,2024-07-17 00:00:00,16888.7900000000,现金,0E-10,已确认,
PAY-240800010,CUST-CN00012,INV-240700015,2024-08-01 00:00:00,22007.2500000000,承兑汇票,0E-10,已确认,
PAY-240500011,CUST-CN00008,INV-240400016,2024-04-21 00:00:00,9129.1300000000,信用证,0E-10,已确认,
PAY-240200012,CUST-CN00001,INV-240100017,2024-01-26 00:00:00,7642.7800000000,信用证,0E-10,已确认,
PAY-240200013,CUST-CN00001,INV-240100017,2024-02-02 00:00:00,17549.0100000000,支票,0E-10,已确认,
PAY-240200014,CUST-CN00005,INV-240100021,2024-02-12 00:00:00,55829.6000000000,现金,0E-10,已确认,收款备注15
PAY-241100015,CUST-CN00011,INV-241000023,2024-10-29 00:00:00,14713.0300000000,现金,0E-10,已确认,
PAY-240600016,CUST-CN00007,INV-240500024,2024-05-15 00:00:00,34532.7900000000,信用证,0E-10,已确认,
PAY-240400017,CUST-CN00007,INV-240400028,2024-04-30 00:00:00,1383.4600000000,支票,0E-10,已确认,收款备注18
PAY-240600018,CUST-CN00012,INV-240500033,2024-06-11 00:00:00,21111.9200000000,现金,0E-10,已确认,
PAY-241000019,CUST-CN00011,INV-240900035,2024-10-06 00:00:00,28318.6400000000,承兑汇票,0E-10,已确认,
PAY-240900020,CUST-CN00010,INV-240800038,2024-09-20 00:00:00,7601.2600000000,信用证,0E-10,已确认,
PAY-240900021,CUST-CN00012,INV-240800040,2024-09-01 00:00:00,7368.4800000000,信用证,0E-10,已确认,
PAY-240300022,CUST-CN00009,INV-240200043,2024-02-09 00:00:00,20964.5600000000,银行转账,0E-10,已确认,
PAY-241100023,CUST-CN00007,INV-241100044,2024-11-24 00:00:00,5369.3000000000,支票,0E-10,已确认,
PAY-241000024,CUST-CN00010,INV-240900046,2024-09-05 00:00:00,26458.2800000000,承兑汇票,0E-10,已确认,
PAY-240200025,CUST-CN00005,INV-240200047,2024-03-24 00:00:00,26650.5000000000,现金,0E-10,已确认,
PAY-241100026,CUST-CN00009,INV-241100050,2024-11-18 00:00:00,2776.9200000000,承兑汇票,0E-10,已确认,
PAY-241200027,CUST-CN00008,INV-241200060,2025-01-20 00:00:00,16906.4600000000,承兑汇票,0E-10,已确认,收款备注28
PAY-250500028,CUST-CN00009,INV-250300065,2025-04-28 00:00:00,11501.5700000000,现金,0E-10,已确认,
PAY-250800029,CUST-CN00005,INV-250600066,2025-06-26 00:00:00,19875.3700000000,现金,0E-10,已确认,
PAY-250700030,CUST-CN00007,INV-250600069,2025-07-03 00:00:00,43381.9900000000,现金,0E-10,已确认,
PAY-250600031,CUST-CN00009,INV-250400070,2025-05-19 00:00:00,14750.2900000000,信用证,0E-10,已确认,
PAY-250500032,CUST-CN00009,INV-250400070,2025-06-05 00:00:00,11409.3100000000,银行转账,0E-10,已确认,
PAY-251000033,CUST-CN00005,INV-250800075,2025-08-19 00:00:00,34214.6100000000,支票,0E-10,已确认,
PAY-250400034,CUST-CN00005,INV-250300077,2025-03-16 00:00:00,26283.6500000000,信用证,0E-10,已确认,
PAY-250600035,CUST-CN00008,INV-250600078,2025-06-29 00:00:00,2828.2400000000,现金,0E-10,已确认,
PAY-250300036,CUST-CN00008,INV-250100079,2025-01-31 00:00:00,10483.5400000000,支票,0E-10,已确认,收款备注37
PAY-250200037,CUST-CN00008,INV-250100079,2025-02-05 00:00:00,4056.8800000000,现金,0E-10,已确认,收款备注38
PAY-250600038,CUST-CN00005,INV-250500081,2025-06-14 00:00:00,26677.7000000000,承兑汇票,0E-10,已确认,
PAY-250500039,CUST-CN00005,INV-250500081,2025-06-24 00:00:00,26194.7500000000,银行转账,0E-10,已确认,
PAY-250600040,CUST-CN00012,INV-250600082,2025-06-30 00:00:00,8106.2100000000,支票,0E-10,已确认,
PAY-250300041,CUST-CN00009,INV-250200087,2025-04-07 00:00:00,26322.1600000000,信用证,0E-10,已确认,收款备注42
PAY-250200042,CUST-CN00005,INV-250200088,2025-03-12 00:00:00,21018.0300000000,承兑汇票,0E-10,已确认,
PAY-250800043,CUST-CN00005,INV-250700093,2025-08-01 00:00:00,21676.5600000000,支票,0E-10,已确认,收款备注44
PAY-250800044,CUST-CN00005,INV-250800094,2025-09-01 00:00:00,5587.0000000000,现金,0E-10,已确认,
PAY-20250812-D21D4BE2,CUST-CN00006,INV-20250812-AF8471E1,2025-08-12 00:00:00,12000.0,bank,0.0,已确认,
